Reviewer,Rating,Title,Date,Body,review_key_aspects,aspect_sentiments,adjective_review,ner_review,emotions_review,empathy_review,predicted_sentiment,actual_sentiment,computed_sentiment_score,computed_sentiment
Amazon Customer,1.0,Refund request,2025-03-26,product did not have all items request refund customer image,product item customer image,"{'product': 'neutral', 'items': 'neutral', 'request': 'neutral', 'customer': 'neutral', 'image': 'neutral'}",,,"[('neutral', 0.520328164100647), ('disapproval', 0.11324439942836761), ('realization', 0.0685105249285698)]","[[{'label': 'sadness', 'score': 0.4779701232910156}, {'label': 'neutral', 'score': 0.42464080452919006}, {'label': 'surprise', 'score': 0.0504952110350132}, {'label': 'anger', 'score': 0.025360915809869766}, {'label': 'fear', 'score': 0.009438890032470226}, {'label': 'disgust', 'score': 0.00911712646484375}, {'label': 'joy', 'score': 0.0029769453685730696}]]",neutral,negative,0.0,neutral
Diya,5.0,Good,2025-03-24,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
Monu keshri,1.0,Very poor,2025-03-24,no refunds my money very bed,refund money,"{'refunds': 'negative', 'money': 'negative', 'bed': 'negative'}",,,"[('neutral', 0.5274690389633179), ('disapproval', 0.119705431163311), ('disappointment', 0.0671004056930542)]","[[{'label': 'sadness', 'score': 0.9032304883003235}, {'label': 'neutral', 'score': 0.04786038026213646}, {'label': 'surprise', 'score': 0.02510884776711464}, {'label': 'anger', 'score': 0.010240653529763222}, {'label': 'disgust', 'score': 0.00717147858813405}, {'label': 'fear', 'score': 0.003990280441939831}, {'label': 'joy', 'score': 0.0023978459648787975}]]",negative,negative,-0.296,negative
Ayush Kumar,5.0,Very effective.,2025-03-23,i am writing this review after using this product for months  its very effective in killing mosquitos and bugs  the best product in market going to place another order after finishing this one  one person found this helpful,review product month mosquito bug good product market order person,"{'review': 'positive', 'product': 'positive', 'months': 'positive', 'mosquitos': 'positive', 'bugs': 'positive', 'market': 'positive', 'order': 'positive', 'person': 'positive'}",effective best helpful,"('months', 'DATE')","[('neutral', 0.42991903424263), ('approval', 0.11605046689510345), ('annoyance', 0.0921478420495987)]","[[{'label': 'joy', 'score': 0.9795676469802856}, {'label': 'surprise', 'score': 0.008701743558049202}, {'label': 'sadness', 'score': 0.005711293313652277}, {'label': 'neutral', 'score': 0.003206433728337288}, {'label': 'anger', 'score': 0.0017991550266742706}, {'label': 'fear', 'score': 0.0007075424073264003}, {'label': 'disgust', 'score': 0.00030615998548455536}]]",positive,positive,0.7335,positive
Sandeep,1.0,Cheating of amazon,2025-03-22,its not a good night liguid  there is a water fill in good night liguid bottle amazon provide defective and cheat the customer now i listen many of people whom amazon cheated,water fill good night liguid bottle amazon customer people amazon,"{'night': 'negative', 'water': 'negative', 'fill': 'negative', 'liguid': 'negative', 'bottle': 'negative', 'amazon': 'negative', 'customer': 'negative', 'people': 'negative'}",good liguid good defective many,,"[('neutral', 0.3453736901283264), ('disapproval', 0.15812648832798004), ('annoyance', 0.1077917218208313)]","[[{'label': 'sadness', 'score': 0.8367538452148438}, {'label': 'anger', 'score': 0.06700674444437027}, {'label': 'joy', 'score': 0.04851497337222099}, {'label': 'surprise', 'score': 0.023559484630823135}, {'label': 'neutral', 'score': 0.020053857937455177}, {'label': 'disgust', 'score': 0.0021120617166161537}, {'label': 'fear', 'score': 0.001999023836106062}]]",negative,negative,-0.8913,negative
SS Das,5.0,Good product,2025-03-21,good product timely delivered,good product,{'product': 'positive'},good,,"[('admiration', 0.4615219533443451), ('approval', 0.2044346183538437), ('neutral', 0.1347806304693222)]","[[{'label': 'neutral', 'score': 0.8245828151702881}, {'label': 'joy', 'score': 0.10975739359855652}, {'label': 'surprise', 'score': 0.032530464231967926}, {'label': 'sadness', 'score': 0.019214004278182983}, {'label': 'anger', 'score': 0.009455996565520763}, {'label': 'disgust', 'score': 0.0028124076779931784}, {'label': 'fear', 'score': 0.0016470106784254313}]]",positive,positive,0.4404,positive
Nanaiah Chottepanda,5.0,Very good item,2025-03-19,good one,,{},good,,"[('admiration', 0.6445191502571106), ('approval', 0.10308437049388885), ('neutral', 0.09865331649780273)]","[[{'label': 'neutral', 'score': 0.5826129913330078}, {'label': 'joy', 'score': 0.372035950422287}, {'label': 'disgust', 'score': 0.013401096686720848}, {'label': 'surprise', 'score': 0.013179130852222443}, {'label': 'sadness', 'score': 0.009231613017618656}, {'label': 'anger', 'score': 0.00832829624414444}, {'label': 'fear', 'score': 0.0012109650997444987}]]",positive,positive,0.4404,positive
Arnab Ghosh,4.0,Good Product,2025-03-14,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,positive,0.4404,positive
Debasree Dutta,5.0,Good,2025-03-12,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
ANIL SATPUTE,5.0,Good,2025-03-12,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
Safiur Rahaman,5.0,Good,2025-03-09,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
Anil K.,5.0,अच्छा प्रोडक्ट,2025-03-09,अच्छा है one person found this helpful,person,{'person': 'positive'},helpful,"('अच्छा', 'PERSON')","[('approval', 0.3441910147666931), ('admiration', 0.33635297417640686), ('neutral', 0.176534503698349)]","[[{'label': 'neutral', 'score': 0.6960875988006592}, {'label': 'joy', 'score': 0.16580991446971893}, {'label': 'surprise', 'score': 0.09997077286243439}, {'label': 'sadness', 'score': 0.01979028806090355}, {'label': 'anger', 'score': 0.008732900023460388}, {'label': 'disgust', 'score': 0.00776462908834219}, {'label': 'fear', 'score': 0.0018439048435539007}]]",positive,positive,0.5023,positive
shwetha,4.0,Good,2025-03-02,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
Jyotirmay Padhi,2.0,The supplier is not trust worthy.,2025-02-17,some of bottle of good night contains extremely bad quality liquid not at all effective one person found this helpful,bottle good night extremely bad quality liquid effective person,"{'bottle': 'negative', 'night': 'negative', 'quality': 'negative', 'liquid': 'negative', 'person': 'negative'}",good bad effective helpful,"('one', 'CARDINAL')","[('admiration', 0.26354846358299255), ('neutral', 0.17349040508270264), ('approval', 0.1497761607170105)]","[[{'label': 'neutral', 'score': 0.5560129284858704}, {'label': 'sadness', 'score': 0.17635515332221985}, {'label': 'disgust', 'score': 0.10213200747966766}, {'label': 'anger', 'score': 0.07594031095504761}, {'label': 'surprise', 'score': 0.04386211559176445}, {'label': 'joy', 'score': 0.03750242665410042}, {'label': 'fear', 'score': 0.008195088244974613}]]",negative,negative,-0.0508,negative
Muneesh,5.0,Worth for money,2025-02-08,best quality quick delivered best prize customer image one person found this helpful,good prize customer image person,"{'quality': 'positive', 'prize': 'positive', 'customer': 'positive', 'image': 'positive', 'person': 'positive'}",best best helpful,"('one', 'CARDINAL')","[('admiration', 0.7149401903152466), ('approval', 0.17431147396564484), ('gratitude', 0.08581005036830902)]","[[{'label': 'joy', 'score': 0.671916663646698}, {'label': 'neutral', 'score': 0.2537011504173279}, {'label': 'surprise', 'score': 0.05580707639455795}, {'label': 'sadness', 'score': 0.009324337355792522}, {'label': 'anger', 'score': 0.005219748709350824}, {'label': 'disgust', 'score': 0.0029605254530906677}, {'label': 'fear', 'score': 0.0010705183958634734}]]",positive,positive,0.9428,positive
Vinay Kumar Singh,5.0,Good item,2025-02-06,very good item one person found this helpful,good item person,"{'item': 'positive', 'person': 'positive'}",good helpful,"('one', 'CARDINAL')","[('admiration', 0.7452874779701233), ('approval', 0.1119254007935524), ('joy', 0.055060986429452896)]","[[{'label': 'joy', 'score': 0.9100767374038696}, {'label': 'neutral', 'score': 0.06015307083725929}, {'label': 'surprise', 'score': 0.020630499348044395}, {'label': 'sadness', 'score': 0.0041798185557127}, {'label': 'disgust', 'score': 0.0023695959243923426}, {'label': 'anger', 'score': 0.0019602871034294367}, {'label': 'fear', 'score': 0.0006300962413661182}]]",positive,positive,0.7538,positive
just kidding,1.0,Fraud,2025-02-04,only two refill pack instead of four,refill pack,"{'refill': 'neutral', 'pack': 'neutral'}",,"('only two', 'CARDINAL')","[('neutral', 0.8262225985527039), ('approval', 0.03474864363670349), ('annoyance', 0.014296158216893673)]","[[{'label': 'neutral', 'score': 0.4880419671535492}, {'label': 'surprise', 'score': 0.33447715640068054}, {'label': 'sadness', 'score': 0.14978434145450592}, {'label': 'disgust', 'score': 0.01119367964565754}, {'label': 'anger', 'score': 0.0071317218244075775}, {'label': 'joy', 'score': 0.0055487193167209625}, {'label': 'fear', 'score': 0.003822393948212266}]]",neutral,negative,0.0,neutral
Sumanta k.,5.0,Very good 👍😊,2025-01-27,very good ,,{},good,,"[('admiration', 0.6806304454803467), ('approval', 0.1187579557299614), ('gratitude', 0.07851307094097137)]","[[{'label': 'joy', 'score': 0.8592588305473328}, {'label': 'neutral', 'score': 0.0583832785487175}, {'label': 'anger', 'score': 0.029535135254263878}, {'label': 'fear', 'score': 0.027518380433321}, {'label': 'sadness', 'score': 0.010393869131803513}, {'label': 'disgust', 'score': 0.008005247451364994}, {'label': 'surprise', 'score': 0.0069053517654538155}]]",positive,positive,0.4927,positive
Placeholder,4.0,Must required for Indian households,2025-01-20,must required for indian households one person found this helpful,indian household person,"{'households': 'positive', 'person': 'positive'}",indian helpful,"('indian', 'NORP')","[('neutral', 0.3217064142227173), ('admiration', 0.1857437938451767), ('approval', 0.1694568246603012)]","[[{'label': 'neutral', 'score': 0.6446405649185181}, {'label': 'joy', 'score': 0.24874483048915863}, {'label': 'surprise', 'score': 0.07014457881450653}, {'label': 'anger', 'score': 0.013620411977171898}, {'label': 'sadness', 'score': 0.012683490291237831}, {'label': 'disgust', 'score': 0.007630211301147938}, {'label': 'fear', 'score': 0.0025359054561704397}]]",positive,positive,0.5023,positive
Elson K,5.0,Good night,2025-01-16,good night,good night,{'night': 'positive'},good,,"[('admiration', 0.5252113342285156), ('neutral', 0.10967180877923965), ('approval', 0.09935290366411209)]","[[{'label': 'neutral', 'score': 0.667667806148529}, {'label': 'joy', 'score': 0.29160749912261963}, {'label': 'surprise', 'score': 0.02029203623533249}, {'label': 'sadness', 'score': 0.013156113214790821}, {'label': 'disgust', 'score': 0.003099805675446987}, {'label': 'anger', 'score': 0.002198409056290984}, {'label': 'fear', 'score': 0.001978355459868908}]]",positive,positive,0.4404,positive
SBC,5.0,Perfect,2025-01-15,value for money combo,value money combo,"{'value': 'positive', 'money': 'positive', 'combo': 'positive'}",,,"[('neutral', 0.4445449709892273), ('approval', 0.1753985583782196), ('admiration', 0.1299823671579361)]","[[{'label': 'neutral', 'score': 0.8697123527526855}, {'label': 'surprise', 'score': 0.07336077839136124}, {'label': 'anger', 'score': 0.02853839099407196}, {'label': 'joy', 'score': 0.01355450227856636}, {'label': 'sadness', 'score': 0.007038623094558716}, {'label': 'disgust', 'score': 0.005635523237287998}, {'label': 'fear', 'score': 0.002159876050427556}]]",positive,positive,0.34,positive
Anil Gupta,3.0,Ok,2025-01-11,ok,,{},,,"[('neutral', 0.6164146065711975), ('approval', 0.18991433084011078), ('caring', 0.04196959733963013)]","[[{'label': 'neutral', 'score': 0.8115996718406677}, {'label': 'surprise', 'score': 0.05355851352214813}, {'label': 'sadness', 'score': 0.04313215613365173}, {'label': 'fear', 'score': 0.03343234956264496}, {'label': 'disgust', 'score': 0.02910882607102394}, {'label': 'anger', 'score': 0.023284118622541428}, {'label': 'joy', 'score': 0.005884390790015459}]]",positive,neutral,0.296,positive
K Anvesh,5.0,Good,2025-01-10,good one person found this helpful,good person,{'person': 'positive'},good helpful,,"[('admiration', 0.7389732599258423), ('approval', 0.11310145258903503), ('neutral', 0.058304961770772934)]","[[{'label': 'joy', 'score': 0.7248302698135376}, {'label': 'neutral', 'score': 0.21967312693595886}, {'label': 'surprise', 'score': 0.023067593574523926}, {'label': 'disgust', 'score': 0.012637363746762276}, {'label': 'sadness', 'score': 0.011197119951248169}, {'label': 'anger', 'score': 0.00753585621714592}, {'label': 'fear', 'score': 0.0010585631243884563}]]",positive,positive,0.7311,positive
